year,month,day,TAVG,TMAX,TMIN,,,0,,,
1885,1,17,0.8,6.7,-2.9,,,,,,
1885,1,18,1.7,6.9,-2.5,,,,,,
1885,1,19,1.7,6.9,-2.4,,,,,,
1885,1,20,0.5,6.7,-3.8,,,,,,
1885,1,21,-0.7,4.3,-7.5,,,,,,
1885,1,22,0.8,9,-7.5,,,,,,
1885,1,23,1.4,9,-3.4,,,,,,
1885,1,24,0.9,8.7,-4.4,,,,,,
1885,1,25,2.6,8.7,-4.4,,,,,,
1885,1,26,2.9,8.3,-1.8,,,,,,
1885,1,27,1.5,7.6,-5.2,,,,,,
1885,1,28,-0.1,7.6,-5.2,,,,,,
1885,1,29,-1.8,4.1,-9,,,,,,
1885,1,30,-1.7,4.1,-9,,,,,,
1885,1,31,-0.5,5.1,-6.8,,,,,,
1885,2,1,1.3,8.9,-5.9,,,,,,
1885,2,2,1.7,8.9,-3.3,,,,,,
1885,2,3,0.8,5.4,-4.1,,,,,,
1885,2,4,0.4,6.1,-5.8,,,,,,
1885,2,5,0.7,8.4,-6.5,,,,,,
1885,2,6,2.5,8.4,-6.5,,,,,,
1885,2,7,2.4,7.7,-2.2,,,,,,
1885,2,8,0.9,7.2,-4.8,,,,,,
1885,2,9,0.9,8.3,-6.1,,,,,,
1885,2,10,0.7,8.3,-6.1,,,,,,
1885,2,11,0.6,5.8,-3.7,,,,,,
1885,2,12,-0.2,5.8,-4,,,,,,
1885,2,13,-0.6,2.4,-4,,,,,,
1885,2,14,1,7.8,-3.1,,,,,,
1885,2,15,1.1,7.8,-5.8,,,,,,
1885,2,16,-0.3,6.2,-5.8,,,,,,
1885,2,17,-0.4,5.9,-6.4,,,,,,
1885,2,18,-0.8,5.9,-6.4,,,,,,
1885,2,19,-1.4,3.4,-5.7,,,,,,
1885,2,20,0.1,6.1,-5.7,,,,,,
1885,2,21,2.3,6.2,-3.4,,,,,,
1885,2,22,2.7,7.8,-1.6,,,,,,
1885,2,23,2.2,9.1,-3.6,,,,,,
1885,2,24,3.6,9.1,-3.6,,,,,,
1885,2,25,4.9,9.4,-2.9,,,,,,
1885,2,26,3.1,9.4,-3.3,,,,,,
1885,2,27,1.3,7.8,-3.8,,,,,,
1885,2,28,2.2,10.3,-3.8,,,,,,
1885,3,1,3.1,10.3,-4.1,,,,,,
1885,3,2,2.8,11.4,-5.8,,,,,,
